x,y,heading,curvature,speed
17.3897,8.282,-0.2102,1.257074,2.274
17.6209,8.2672,0.0807,1.046813,2.492
17.8902,8.3224,0.2911,0.527761,2.993
18.2045,8.4421,0.4126,0.246942,3.51
18.5605,8.6158,0.5108,0.2606,4.035
18.9284,8.8478,0.6592,0.433886,3.871
19.253,9.1525,0.8162,0.27593,4.408
19.5423,9.5007,0.9147,0.163071,4.895
19.8057,9.8704,0.9697,0.0808,5.338
20.0515,10.2433,0.9921,0.019036,5.742
20.2851,10.6042,0.9891,0.035931,5.253
20.5096,10.9398,0.962,0.104555,4.735
20.7273,11.2385,0.9054,0.21547,4.219
20.9413,11.4899,0.807,0.401083,3.703
21.1567,11.6869,0.6506,0.657863,3.143
21.3893,11.8309,0.4468,0.712894,3.02
21.6724,11.934,0.274,0.432777,3.483
22.0119,12.0059,0.1751,0.183049,3.95
22.3756,12.0584,0.1366,0.038123,4.39
22.7254,12.104,0.141,0.07161,4.775
23.0401,12.1527,0.1757,0.147202,5.098
23.3334,12.2119,0.2296,0.202301,5.383
23.6247,12.2893,0.2948,0.222193,5.409
23.922,12.3906,0.3638,0.214333,5.507
24.2275,12.5189,0.4313,0.194141,5.786
24.5397,12.6749,0.4949,0.172069,6.08
24.8553,12.8577,0.5537,0.152445,6.373
25.1705,13.0649,0.6078,0.136283,6.663
25.4813,13.2931,0.6575,0.123488,6.946
25.7842,13.5387,0.7036,0.113777,7.0
26.0769,13.7985,0.7464,0.105119,7.0
26.3594,14.0708,0.7857,0.09512,7.0
26.6325,14.3545,0.821,0.084121,7.0
26.8969,14.648,0.852,0.072803,7.0
27.1536,14.95,0.8787,0.061772,7.0
27.4036,15.2593,0.9012,0.051528,7.0
27.6481,15.5748,0.9199,0.042441,7.0
27.888,15.8954,0.9354,0.03475,7.0
28.1242,16.2204,0.9481,0.028561,7.0
28.3574,16.5492,0.9587,0.023859,7.0
28.5882,16.8813,0.9676,0.020525,7.0
28.817,17.2164,0.9755,0.018362,7.0
29.0439,17.5542,0.9827,0.017125,7.0
29.2692,17.8947,0.9896,0.016547,7.0
29.4929,18.2377,0.9964,0.016367,7.0
29.7149,18.5832,1.0031,0.016351,7.0
29.9351,18.9311,1.0098,0.016308,7.0
30.1535,19.2813,1.0165,0.016096,7.0
30.3701,19.6338,1.023,0.015625,7.0
30.5849,19.9884,1.0294,0.014855,7.0
30.7978,20.3449,1.0353,0.013784,7.0
31.009,20.7032,1.0408,0.012444,7.0
31.2186,21.063,1.0456,0.010886,7.0
31.4267,21.4242,1.0498,0.009171,7.0
31.6336,21.7863,1.0532,0.007361,7.0
31.8395,22.1492,1.0559,0.005518,7.0
32.0446,22.5127,1.0579,0.003693,7.0
32.249,22.8763,1.059,0.001929,7.0
32.4531,23.24,1.0595,0.000253,7.0
32.657,23.6034,1.0593,0.001315,7.0
32.8609,23.9663,1.0584,0.002768,7.0
33.0649,24.3285,1.057,0.004101,7.0
33.2691,24.6897,1.055,0.005311,7.0
33.4738,25.0498,1.0526,0.006398,7.0
33.6789,25.4085,1.0498,0.007356,7.0
33.8846,25.7656,1.0466,0.008179,7.0
34.0909,26.1211,1.0431,0.008857,7.0
34.2979,26.4746,1.0393,0.009377,7.0
34.5055,26.8262,1.0354,0.009722,7.0
34.7138,27.1759,1.0314,0.009877,7.0
34.9229,27.5236,1.0274,0.009841,7.0
35.1329,27.8697,1.0235,0.009623,7.0
35.3437,28.2141,1.0197,0.009236,7.0
35.5553,28.5569,1.0161,0.008697,7.0
35.7677,28.8985,1.0127,0.008027,7.0
35.9809,29.2388,1.0096,0.007251,7.0
36.1949,29.578,1.0069,0.00639,7.0
36.4094,29.9163,1.0045,0.005467,7.0
